time,destination_id,distance,stamp
1970/01/01/02:03:48.106000,"(26955, 26952, 26959, 26954)","(3209.5956355270973, 595.5434584163773, 4714.705349776096, 3582.149470144396)","[genpy.Time[228105000000], genpy.Time[228105000000], genpy.Time[228105000000]]"
1970/01/01/02:03:48.306000,"(26955, 26952, 26959, 26954)","(3173.4539451329683, 590.0795891236818, 4774.994523618078, 3617.1891000673377)","[genpy.Time[228305000000], genpy.Time[228305000000], genpy.Time[228305000000]]"
1970/01/01/02:03:48.506000,"(26955, 26952, 26959, 26954)","(3221.5976225584195, 587.6375634625174, 4773.74100886912, 3579.3951527335767)","[genpy.Time[228505000000], genpy.Time[228505000000], genpy.Time[228505000000]]"
1970/01/01/02:03:48.707000,"(26955, 26952, 26959, 26954)","(3164.456748337095, 588.6886424773257, 4772.9820289565005, 3551.6329664232385)","[genpy.Time[228706000000], genpy.Time[228706000000], genpy.Time[228706000000]]"
1970/01/01/02:03:48.907000,"(26955, 26952, 26959, 26954)","(3207.4888690296048, 590.7863940617716, 4757.016025069859, 3530.5994868481425)","[genpy.Time[228907000000], genpy.Time[228907000000], genpy.Time[228907000000]]"
1970/01/01/02:03:49.108000,"(26955, 26952, 26959, 26954)","(3186.9698745754504, 588.283789680045, 4775.765381231879, 3586.3967376395485)","[genpy.Time[229108000000], genpy.Time[229108000000], genpy.Time[229108000000]]"
1970/01/01/02:03:49.308000,"(26955, 26952, 26959, 26954)","(3201.5956957933204, 597.7679479000119, 4751.521712891663, 3545.372746946006)","[genpy.Time[229308000000], genpy.Time[229308000000], genpy.Time[229308000000]]"
1970/01/01/02:03:49.509000,"(26955, 26952, 26959, 26954)","(3208.1290437361313, 590.366712903863, 4708.790790761719, 3541.085072280729)","[genpy.Time[229509000000], genpy.Time[229509000000], genpy.Time[229509000000]]"
1970/01/01/02:03:49.710000,"(26955, 26952, 26959, 26954)","(3163.803037880233, 594.3044526110698, 4696.322913681916, 3576.972334118057)","[genpy.Time[229709000000], genpy.Time[229709000000], genpy.Time[229709000000]]"
1970/01/01/02:03:49.910000,"(26955, 26952, 26959, 26954)","(3204.278078299432, 602.1628029239106, 4753.315028845565, 3551.5909122550156)","[genpy.Time[229909000000], genpy.Time[229909000000], genpy.Time[229909000000]]"
1970/01/01/02:03:50.109000,"(26955, 26952, 26959, 26954)","(3225.083212513436, 595.7135492547793, 4801.425347850188, 3569.874607814065)","[genpy.Time[230109000000], genpy.Time[230109000000], genpy.Time[230109000000]]"
1970/01/01/02:03:50.310000,"(26955, 26952, 26959, 26954)","(3191.0429057859387, 593.4010911722627, 4773.492115753434, 3573.878423720624)","[genpy.Time[230309000000], genpy.Time[230309000000], genpy.Time[230309000000]]"
1970/01/01/02:03:50.510000,"(26955, 26952, 26959, 26954)","(3239.4760543485136, 597.9644158828387, 4817.95834639996, 3543.7075635754877)","[genpy.Time[230509000000], genpy.Time[230509000000], genpy.Time[230509000000]]"
1970/01/01/02:03:50.710000,"(26955, 26952, 26959, 26954)","(3222.161054259031, 603.1391767891878, 4783.196083258395, 3540.4278965354424)","[genpy.Time[230710000000], genpy.Time[230710000000], genpy.Time[230710000000]]"
1970/01/01/02:03:50.913000,"(26955, 26952, 26959, 26954)","(3221.655844026822, 595.1888971528954, 4765.590269644157, 3579.902245402061)","[genpy.Time[230912000000], genpy.Time[230912000000], genpy.Time[230912000000]]"
1970/01/01/02:03:51.114000,"(26955, 26952, 26959, 26954)","(3226.8559775520803, 589.0370328886825, 4789.67698926018, 3599.9995045562523)","[genpy.Time[231112000000], genpy.Time[231112000000], genpy.Time[231112000000]]"
1970/01/01/02:03:51.316000,"(26955, 26952, 26959, 26954)","(3207.6988978101085, 600.6568557459057, 4814.839556070135, 3609.037449696216)","[genpy.Time[231314000000], genpy.Time[231314000000], genpy.Time[231314000000]]"
1970/01/01/02:03:51.516000,"(26955, 26952, 26959, 26954)","(3191.3015746141787, 599.2300131030051, 4735.171249229308, 3597.3885416797098)","[genpy.Time[231516000000], genpy.Time[231516000000], genpy.Time[231516000000]]"
1970/01/01/02:03:51.716000,"(26955, 26952, 26959, 26954)","(3250.253963551337, 589.9129155180008, 4806.339378751729, 3577.825473353484)","[genpy.Time[231716000000], genpy.Time[231716000000], genpy.Time[231716000000]]"
